held_out,strategy,mean_arcface,scores,nearest,nearest_sim
Matt Damon,all_positions,0.3734226286411285,"[0.3832859992980957, 0.39623579382896423, 0.3618481159210205, 0.32150405645370483, 0.4042391777038574]",Jack Nicholson,0.4712006747722626
Matt Damon,name_tokens_only,0.39984530210494995,"[0.44301924109458923, 0.3924586772918701, 0.4153748154640198, 0.3472813069820404, 0.4010924696922302]",Jack Nicholson,0.4712006747722626
Matt Damon,high_identity_only,0.40882564187049864,"[0.4519052803516388, 0.39317625761032104, 0.40857183933258057, 0.38278698921203613, 0.40768784284591675]",Jack Nicholson,0.4712006747722626
George Clooney,all_positions,0.39679542779922483,"[0.380190372467041, 0.41239532828330994, 0.41564255952835083, 0.39711979031562805, 0.37862908840179443]",Al Pacino,0.523898720741272
George Clooney,name_tokens_only,0.3906305432319641,"[0.3630993366241455, 0.42191290855407715, 0.3845576345920563, 0.3697499930858612, 0.4138328433036804]",Al Pacino,0.523898720741272
George Clooney,high_identity_only,0.40500494837760925,"[0.36514630913734436, 0.4299030900001526, 0.4471653699874878, 0.39181411266326904, 0.3909958600997925]",Al Pacino,0.523898720741272
Ryan Gosling,all_positions,0.2796004951000214,"[0.3333883285522461, 0.27593863010406494, 0.25523239374160767, 0.2750011682510376, 0.2584419548511505]",Harrison Ford,0.4190185070037842
Ryan Gosling,name_tokens_only,0.2670363813638687,"[0.2806640565395355, 0.2836238145828247, 0.2721240818500519, 0.26931869983673096, 0.2294512540102005]",Harrison Ford,0.4190185070037842
Ryan Gosling,high_identity_only,0.26253477334976194,"[0.2822791337966919, 0.25419992208480835, 0.2657689154148102, 0.27305978536605835, 0.23736611008644104]",Harrison Ford,0.4190185070037842
Chris Hemsworth,all_positions,0.32614737153053286,"[0.3586772680282593, 0.3311283588409424, 0.3282039165496826, 0.36922428011894226, 0.24350303411483765]",Harrison Ford,0.3526912331581116
Chris Hemsworth,name_tokens_only,0.32267963886260986,"[0.3880561590194702, 0.3703274130821228, 0.251983642578125, 0.3735547363758087, 0.22947624325752258]",Harrison Ford,0.3526912331581116
Chris Hemsworth,high_identity_only,0.3632334768772125,"[0.39824378490448, 0.3664969801902771, 0.354647159576416, 0.4111329913139343, 0.2856464684009552]",Harrison Ford,0.3526912331581116
Jake Gyllenhaal,all_positions,0.32675236463546753,"[0.3938717544078827, 0.34194350242614746, 0.2627091407775879, 0.3306231200695038, 0.3046143054962158]",Javier Bardem,0.44173747301101685
Jake Gyllenhaal,name_tokens_only,0.30885791778564453,"[0.38424867391586304, 0.28446298837661743, 0.31361550092697144, 0.3039815425872803, 0.2579808831214905]",Javier Bardem,0.44173747301101685
Jake Gyllenhaal,high_identity_only,0.3727465271949768,"[0.445503830909729, 0.39173293113708496, 0.38344287872314453, 0.35467594861984253, 0.288377046585083]",Javier Bardem,0.44173747301101685
Idris Elba,all_positions,0.5186872363090516,"[0.530007541179657, 0.5507002472877502, 0.5696839690208435, 0.47373032569885254, 0.4693140983581543]",Dave Chappelle,0.6596987247467041
Idris Elba,name_tokens_only,0.5229358792304992,"[0.47459739446640015, 0.5554765462875366, 0.6221914887428284, 0.4756839871406555, 0.4867299795150757]",Dave Chappelle,0.6596987247467041
