position,between_var,within_var,discrimination_ratio,silhouette,token_type
0,0.0,0.0,0.0,0.0,system_prefix
1,0.0,0.0,0.0,0.0,system_prefix
2,0.0,0.0,0.0,0.0,system_prefix
3,0.0,10.914803504943848,0.0,-0.20000003278255463,system_prefix
4,0.0,12.092672348022461,0.0,-0.2000000923871994,system_prefix
5,0.0,22.890779495239258,0.0,0.011598719283938408,pre_name
6,39.30437469482422,26.327550888061523,1.4928990602493286,0.028578223660588264,name
7,45.16233444213867,24.839319229125977,1.8181792497634888,-0.062349915504455566,name
8,37.5482063293457,25.54766082763672,1.4697316884994507,-0.1764441728591919,name
9,25.25673484802246,23.75017547607422,1.0634336471557617,-0.20119571685791016,name
10,16.56478500366211,20.479459762573242,0.8088487386703491,-0.23849043250083923,name
11,14.267084121704102,16.32565689086914,0.8739056587219238,-0.21310508251190186,name
12,13.700518608093262,17.192893981933594,0.7968710064888,-0.20771564543247223,post_name
13,13.663345336914062,16.61418342590332,0.8223904371261597,-0.2557809352874756,name
14,18.651630401611328,12.15201187133789,1.5348594188690186,-0.2504647970199585,post_name
15,18.288921356201172,12.537158966064453,1.4587771892547607,-0.22697918117046356,scene
16,15.590112686157227,13.732741355895996,1.1352512836456299,-0.30451175570487976,suffix
17,25.359272003173828,9.88135814666748,2.566375255584717,-0.3308540880680084,suffix

